title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Save Your Tears;The Weeknd;canadian contemporary r&b;2020;118;83;68;-5;54;64;216;2;3;89;CA
Someone You Loved;Lewis Capaldi;pop;2019;110;41;50;-6;11;45;182;75;3;89;GB
The Real Slim Shady;Eminem;detroit hip hop;2000;105;66;95;-4;5;76;284;3;6;89;US
When I Was Your Man;Bruno Mars;dance pop;2012;73;28;61;-9;9;39;214;93;4;89;US
Blank Space;Taylor Swift;pop;2014;96;70;76;-5;9;57;232;10;5;88;US
Circles;Post Malone;dfw rap;2019;120;76;70;-3;9;55;215;19;4;88;US
Ghost;Justin Bieber;canadian pop;2021;154;74;60;-6;42;44;153;19;5;88;CA
Heather;Conan Gray;bedroom pop;2020;102;43;36;-7;32;27;198;58;3;88;US
I Love You So;The Walters;chicago indie;2014;76;65;57;-5;12;47;160;58;4;88;US
Locked out of Heaven;Bruno Mars;dance pop;2012;144;70;73;-4;31;87;233;5;4;88;US
Lover;Taylor Swift;pop;2019;69;54;36;-8;12;45;221;49;9;88;US
Moscow Mule;Bad Bunny;reggaeton;2022;100;67;80;-5;12;29;246;29;3;88;PR
One Dance;Drake;canadian hip hop;2016;104;63;79;-6;33;37;174;1;5;88;CA
One Kiss (with Dua Lipa);Calvin Harris;dance pop;2018;124;86;79;-3;8;59;215;4;11;88;UNKNOWN
Pink + White;Frank Ocean;lgbtq+ hip hop;2016;160;55;55;-7;42;55;185;67;11;88;US
Shape of You;Ed Sheeran;pop;2017;96;65;83;-3;9;93;234;58;8;88;GB
Shivers;Ed Sheeran;pop;2021;141;86;79;-3;4;82;208;28;9;88;GB
The Hills;The Weeknd;canadian contemporary r&b;2015;113;56;59;-7;14;14;242;7;5;88;CA
Viva La Vida;Coldplay;permanent wave;2008;138;62;49;-7;11;42;242;10;3;88;GB
Why'd You Only Call Me When You're High?;Arctic Monkeys;garage rock;2013;92;63;69;-6;10;80;161;5;4;88;GB
Bad Habits;Ed Sheeran;pop;2021;126;89;81;-4;37;54;231;5;3;87;GB
Happier Than Ever;Billie Eilish;art pop;2021;81;23;33;-9;13;30;299;77;3;87;US
Heartless;Kanye West;chicago rap;2008;88;65;79;-6;25;65;211;5;14;87;US
Heaven;Niall Horan;pop;2023;92;76;57;-3;33;68;186;7;3;87;IE
I'm Not The Only One;Sam Smith;pop;2014;82;49;68;-6;8;49;239;53;4;87;US
In the End;Linkin Park;alternative metal;2000;105;86;56;-6;21;40;217;1;6;87;US
La Jumpa;Arcángel;latin hip hop;2022;140;23;89;-15;13;20;197;11;18;87;PR
LET GO;Central Cee;melodic drill;2022;146;45;74;-10;21;51;176;86;38;87;UNKNOWN
MIDDLE OF THE NIGHT;Elley Duhé;alt z;2020;186;61;41;-8;12;9;184;2;5;87;US
Mr. Brightside;The Killers;alternative rock;2004;148;91;35;-5;10;24;223;0;7;87;US
Numb;Linkin Park;alternative metal;2003;110;86;50;-4;64;24;186;0;4;87;US
Photograph;Ed Sheeran;pop;2014;108;38;61;-10;10;20;259;61;5;87;GB
