title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
Idioteque,Radiohead,alternative rock,2000.0,138.0,93.0,62.0,-8.0,9.0,53.0,309.0,4.0,27.0,61.0,GB
Life Is A Rollercoaster,Ronan Keating,europop,2000.0,119.0,79.0,66.0,-9.0,33.0,86.0,235.0,10.0,3.0,61.0,IE
Music,Madonna,dance pop,2000.0,120.0,80.0,74.0,-9.0,14.0,87.0,226.0,0.0,7.0,61.0,US
Turn Off The Light,Nelly Furtado,canadian latin,2000.0,180.0,69.0,59.0,-6.0,42.0,65.0,276.0,8.0,10.0,61.0,CA
Case Of The Ex (Whatcha Gonna Do),Mýa,contemporary r&b,2000.0,98.0,69.0,77.0,-5.0,7.0,35.0,237.0,5.0,4.0,60.0,US
Promise,Jagged Edge,atl hip hop,2000.0,128.0,57.0,75.0,-5.0,3.0,65.0,247.0,14.0,9.0,60.0,US
The Middle,Jimmy Eat World,alternative metal,2001.0,162.0,85.0,64.0,-5.0,6.0,90.0,166.0,4.0,5.0,83.0,US
Whenever Wherever,Shakira,colombian pop,2001.0,108.0,83.0,79.0,-5.0,20.0,87.0,196.0,24.0,4.0,83.0,CO
How You Remind Me,Nickelback,alternative metal,2001.0,172.0,76.0,45.0,-5.0,10.0,54.0,224.0,0.0,3.0,81.0,CA
Drops of Jupiter (Tell Me),Train,dance pop,2001.0,79.0,64.0,48.0,-6.0,15.0,50.0,260.0,15.0,3.0,80.0,US
Island In The Sun,Weezer,alternative rock,2001.0,115.0,81.0,65.0,-6.0,17.0,66.0,200.0,1.0,3.0,80.0,US
One More Time,Daft Punk,electro,2001.0,123.0,70.0,61.0,-9.0,33.0,48.0,320.0,2.0,13.0,79.0,FR
Clint Eastwood,Gorillaz,alternative hip hop,2001.0,168.0,69.0,66.0,-9.0,7.0,53.0,341.0,3.0,17.0,78.0,UNKNOWN
Family Affair,Mary J. Blige,dance pop,2001.0,93.0,55.0,91.0,-4.0,9.0,97.0,266.0,13.0,4.0,78.0,US
Lady - Hear Me Tonight,Modjo,disco house,2001.0,126.0,81.0,72.0,-6.0,6.0,87.0,307.0,1.0,4.0,78.0,FR
Can't Get You out of My Head,Kylie Minogue,australian dance,2001.0,126.0,56.0,77.0,-8.0,12.0,96.0,231.0,3.0,3.0,77.0,AU
In Too Deep,Sum 41,alternative metal,2001.0,116.0,84.0,57.0,-6.0,6.0,77.0,207.0,0.0,5.0,77.0,CA
