spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6v46jy0bNem1EIbjtfJyee,DONA - Ao Vivo,"Luan Santana, Léo Foguete",38,-6,12,BR,2025-06-11,81,False,222034,DONA (Ao Vivo),2025-04-24,0.485,0.776,7,-6.222,1,0.0471,0.539,0.0,0.396,0.45,141.874,4
1h0yBDChztCJRTqmI5U6ou,É Tudo Sobre Você / Ser Mudado - Ao Vivo,MORADA,39,6,6,BR,2025-06-11,77,False,442406,Uma Só Voz - Vol. 01 (Ao Vivo),2021-06-15,0.428,0.681,9,-7.114,0,0.0317,0.546,7.48e-06,0.968,0.301,137.912,4
2LzXPUzL9sgeRl9a5miHMA,OUTRA,"tarisiix, fire hair, WenHard",40,-9,-6,BR,2025-06-11,79,True,128000,OUTRA,2025-04-15,0.887,0.5,9,-6.805,0,0.349,0.11,0.0206,0.103,0.58,90.023,3
6XXqPj8USz1oebSmMPCBLC,Tipo Nino Abravanel,"DJ Gouveia, DJ Dozabri, Mc Rodrigo do CN",41,3,-3,BR,2025-06-11,79,True,131076,Tipo Nino Abravanel,2025-01-23,0.961,0.666,11,-0.687,1,0.0934,0.119,1.07e-05,0.0548,0.736,130.059,4
708yXS1fLm1gAXFyIQxtX2,Romântico - Ao Vivo,Henrique & Juliano,42,-9,-9,BR,2025-06-11,78,False,183758,Manifesto Musical 2 (Ao Vivo / Vol.1),2024-12-13,0.602,0.49,7,-7.93,1,0.062,0.565,2.95e-06,0.753,0.686,93.844,4
3bpNcH1SCEMn6zuynZGY5e,Fashion,"Orochi, TkN, RUXN, Kizzy, ProdSmile",43,4,-1,BR,2025-06-11,79,False,213284,Mixtape Chiró,2025-02-28,0.582,0.472,7,-8.188,0,0.0817,0.319,0.0,0.144,0.146,136.794,4
6lrQgEPTuOKyvn4bQJuaRU,NÃO ERA LOVE,"Luan Pereira, MC Tuto, Grelo",44,-5,-19,BR,2025-06-11,84,False,144457,NÃO ERA LOVE,2025-04-03,0.792,0.712,9,-4.467,1,0.0449,0.393,0.0,0.264,0.87,138.943,4
3iDZj9V0RSElRwVgtmMYgJ,Lei Anti O.R.U.A.M,"Oruam, Victor WAO, Maurin",45,5,-1,BR,2025-06-11,79,False,158608,Liberdade,2025-02-21,0.665,0.477,11,-7.596,0,0.529,0.653,0.0,0.0817,0.304,115.369,4
5AoOD6SAzOOE6jwxvRIBPq,Baile do Panta,"Nego Trufa, Dj TC, DJ Japa NK",46,-4,-11,BR,2025-06-11,81,False,129229,Baile do Panta,2025-04-01,0.768,0.543,7,-5.68,0,0.398,0.644,0.0,0.36,0.795,129.799,4
7tz0PRdO9wOCHL5wr8Rne4,Princesa - Ao Vivo,"Gustavo Mioto, Ana Castela",47,-7,3,BR,2025-06-11,55,False,208917,Atemporal (Ao Vivo),2025-05-30,0.627,0.538,0,-5.39,1,0.0293,0.698,0.0,0.77,0.401,130.051,4
